"Form type","Form description","Filing date","Reporting date"
"4","Statement of changes in beneficial ownership of securities","2018-04-03","2018-04-01"
"4","Statement of changes in beneficial ownership of securities","2018-04-03","2018-04-01"
"4","Statement of changes in beneficial ownership of securities","2018-04-03","2018-04-01"
"4","Statement of changes in beneficial ownership of securities","2018-04-05","2018-04-03"
"4","Statement of changes in beneficial ownership of securities","2018-04-06","2018-04-04"
"4","Statement of changes in beneficial ownership of securities","2018-04-16","2018-04-12"
"4","Statement of changes in beneficial ownership of securities","2018-04-17","2018-04-15"
"4","Statement of changes in beneficial ownership of securities","2018-04-17","2018-04-15"
"8-K","Current report","2018-05-01","2018-05-01"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2018-05-02","2018-03-31"
"4","Statement of changes in beneficial ownership of securities","2018-05-07","2018-05-03"
"8-K","Current report","2018-05-07","2018-04-30"
"8-K/A","Current report - amendment","2018-05-08","2018-04-30"
"4","Statement of changes in beneficial ownership of securities","2018-05-10","2018-05-08"
"4","Statement of changes in beneficial ownership of securities","2018-05-11","2018-05-09"
"4","Statement of changes in beneficial ownership of securities","2018-05-15","2018-05-13"
"4","Statement of changes in beneficial ownership of securities","2018-05-18","2018-05-16"
"4","Statement of changes in beneficial ownership of securities","2018-05-21","2018-05-17"
"4","Statement of changes in beneficial ownership of securities","2018-05-25","2018-05-23"
"4","Statement of changes in beneficial ownership of securities","2018-05-31","2018-05-29"
"4","Statement of changes in beneficial ownership of securities","2018-06-04","2018-05-31"
"4","Statement of changes in beneficial ownership of securities","2018-06-12","2018-06-08"
"4","Statement of changes in beneficial ownership of securities","2018-06-18","2018-06-14"
"4","Statement of changes in beneficial ownership of securities","2018-07-11","2018-07-09"
"8-K","Current report","2018-07-31","2018-07-31"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2018-08-01","2018-06-30"
"4","Statement of changes in beneficial ownership of securities","2018-08-06","2018-08-02"
"4","Statement of changes in beneficial ownership of securities","2018-08-10","2018-08-09"
"4","Statement of changes in beneficial ownership of securities","2018-08-10","2018-08-08"
"4","Statement of changes in beneficial ownership of securities","2018-08-17","2018-08-15"
"4","Statement of changes in beneficial ownership of securities","2018-08-21","2018-08-21"
"4","Statement of changes in beneficial ownership of securities","2018-08-21","2018-08-17"
"S-8","Securities to be offered to employees in employee benefit plans","2018-08-23",""
"4","Statement of changes in beneficial ownership of securities","2018-08-28","2018-08-24"
"4","Statement of changes in beneficial ownership of securities","2018-10-02","2018-09-30"
"4","Statement of changes in beneficial ownership of securities","2018-10-02","2018-09-30"
"4","Statement of changes in beneficial ownership of securities","2018-10-02","2018-09-30"
"4","Statement of changes in beneficial ownership of securities","2018-10-02","2018-09-30"
"4","Statement of changes in beneficial ownership of securities","2018-10-02","2018-09-30"
"4","Statement of changes in beneficial ownership of securities","2018-10-03","2018-10-01"
"4","Statement of changes in beneficial ownership of securities","2018-10-03","2018-10-01"
"4","Statement of changes in beneficial ownership of securities","2018-10-03","2018-10-01"
"4","Statement of changes in beneficial ownership of securities","2018-10-05","2018-10-03"
"4","Statement of changes in beneficial ownership of securities","2018-10-05","2018-10-04"
"4","Statement of changes in beneficial ownership of securities","2018-10-05","2018-10-03"
"4","Statement of changes in beneficial ownership of securities","2018-10-17","2018-10-15"
"8-K","Current report","2018-11-01","2018-11-01"
"S-3ASR","Automatic shelf registration statement of securities of well-known seasoned issuers","2018-11-05",""
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2018-11-05","2018-09-29"
"4","Statement of changes in beneficial ownership of securities","2018-11-15","2018-11-13"
"4","Statement of changes in beneficial ownership of securities","2018-11-21","2018-11-19"
"8-K","Current report","2019-01-02","2019-01-02"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2019-01-08",""
"DEF 14A","Other definitive proxy statements","2019-01-08","2019-03-01"
"4","Statement of changes in beneficial ownership of securities","2019-01-28","2019-01-24"
"8-K","Current report","2019-01-29","2019-01-29"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2019-01-30","2018-12-29"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2019-02-04",""
"4","Statement of changes in beneficial ownership of securities","2019-02-05","2019-02-01"
"4","Statement of changes in beneficial ownership of securities","2019-02-05","2019-02-01"
"4","Statement of changes in beneficial ownership of securities","2019-02-05","2019-02-01"
"4","Statement of changes in beneficial ownership of securities","2019-02-05","2019-02-01"
"4","Statement of changes in beneficial ownership of securities","2019-02-05","2019-02-01"
"4","Statement of changes in beneficial ownership of securities","2019-02-05","2019-02-01"
"4","Statement of changes in beneficial ownership of securities","2019-02-05","2019-02-01"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2019-02-05",""
"8-K","Current report","2019-02-06","2019-02-05"
"4","Statement of changes in beneficial ownership of securities","2019-02-07","2019-02-05"
"3","Initial statement of beneficial ownership of securities","2019-02-07","2019-02-05"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2019-02-11",""
"SC 13G","Statement of Beneficial Ownership by Certain Investors","2019-02-14",""
"SD","Form - SD","2019-02-15",""
"8-K","Current report","2019-03-04","2019-03-01"
"4","Statement of changes in beneficial ownership of securities","2019-03-05","2019-03-01"
"4","Statement of changes in beneficial ownership of securities","2019-03-05","2019-03-01"
"4","Statement of changes in beneficial ownership of securities","2019-03-05","2019-03-01"
"4","Statement of changes in beneficial ownership of securities","2019-03-05","2019-03-01"
"4","Statement of changes in beneficial ownership of securities","2019-03-05","2019-03-01"
"4","Statement of changes in beneficial ownership of securities","2019-03-05","2019-03-01"
"4","Statement of changes in beneficial ownership of securities","2019-03-05","2019-03-01"
"CERT","Form - CERT","2019-03-14",""
"25","Notification of the removal from listing and registration of matured, redeemed or retired securities","2019-03-14",""
"8-A12B","Registration of securities [Section 12(b)]","2019-03-14",""
"4","Statement of changes in beneficial ownership of securities","2019-04-03","2019-04-01"
"4","Statement of changes in beneficial ownership of securities","2019-04-03","2019-04-01"
"4","Statement of changes in beneficial ownership of securities","2019-04-09","2019-04-05"
"4","Statement of changes in beneficial ownership of securities","2019-04-17","2019-04-15"
"4","Statement of changes in beneficial ownership of securities","2019-04-17","2019-04-15"
"3/A","Initial statement of beneficial ownership of securities - amendment","2019-04-17","2019-02-05"
"8-K","Current report","2019-04-30","2019-04-30"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2019-05-01","2019-03-30"
"4","Statement of changes in beneficial ownership of securities","2019-05-06","2019-05-02"
"4","Statement of changes in beneficial ownership of securities","2019-05-07","2019-05-03"
"8-K","Current report","2019-07-30","2019-07-30"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2019-07-31","2019-06-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-05","2019-08-02"
"4","Statement of changes in beneficial ownership of securities","2019-08-05","2019-08-01"
"4","Statement of changes in beneficial ownership of securities","2019-08-05","2019-08-01"
"4","Statement of changes in beneficial ownership of securities","2019-08-14","2019-08-12"
"4","Statement of changes in beneficial ownership of securities","2019-08-26","2019-08-22"
"4","Statement of changes in beneficial ownership of securities","2019-08-27","2019-08-24"
"424B2","Prospectus [Rule 424(b)(2)]","2019-09-04",""
"424B2","Prospectus [Rule 424(b)(2)]","2019-09-05",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2019-09-05",""
"8-K","Current report","2019-09-11","2019-09-04"
"8-K","Current report","2019-09-13","2019-09-10"
"4","Statement of changes in beneficial ownership of securities","2019-10-01","2019-09-29"
"4","Statement of changes in beneficial ownership of securities","2019-10-01","2019-09-29"
"4","Statement of changes in beneficial ownership of securities","2019-10-01","2019-09-29"
"4","Statement of changes in beneficial ownership of securities","2019-10-01","2019-09-29"
"4","Statement of changes in beneficial ownership of securities","2019-10-01","2019-09-29"
"4","Statement of changes in beneficial ownership of securities","2019-10-03","2019-10-01"
"4","Statement of changes in beneficial ownership of securities","2019-10-03","2019-10-01"
"4","Statement of changes in beneficial ownership of securities","2019-10-09","2019-10-07"
"4","Statement of changes in beneficial ownership of securities","2019-10-17","2019-10-15"
"4","Statement of changes in beneficial ownership of securities","2019-10-17","2019-10-15"
"8-K","Current report","2019-10-30","2019-10-30"
"S-8 POS","Securities to be offered to employees in employee benefit plans, post-effective amendments","2019-10-31",""
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2019-10-31","2019-09-28"
"4","Statement of changes in beneficial ownership of securities","2019-11-07","2019-11-05"
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2019-11-07",""
"424B2","Prospectus [Rule 424(b)(2)]","2019-11-07",""
"424B2","Prospectus [Rule 424(b)(2)]","2019-11-08",""
"4","Statement of changes in beneficial ownership of securities","2019-11-14","2019-11-13"
"CERT","Form - CERT","2019-11-15",""
"8-A12B","Registration of securities [Section 12(b)]","2019-11-15",""
"8-K","Current report","2019-11-15","2019-11-07"
"4","Statement of changes in beneficial ownership of securities","2020-01-02","2019-12-27"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2020-01-03",""
"DEF 14A","Other definitive proxy statements","2020-01-03","2020-02-26"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2020-01-22",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2020-01-27",""
"8-K","Current report","2020-01-28","2020-01-28"
"4","Statement of changes in beneficial ownership of securities","2020-01-29","2020-01-27"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2020-01-29","2019-12-28"
"4","Statement of changes in beneficial ownership of securities","2020-02-04","2020-02-01"
"4","Statement of changes in beneficial ownership of securities","2020-02-04","2020-02-01"
"4","Statement of changes in beneficial ownership of securities","2020-02-04","2020-02-01"
"4","Statement of changes in beneficial ownership of securities","2020-02-04","2020-02-01"
"4","Statement of changes in beneficial ownership of securities","2020-02-04","2020-02-01"
"4","Statement of changes in beneficial ownership of securities","2020-02-04","2020-02-01"
"SD","Form - SD","2020-02-06",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2020-02-10",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2020-02-12",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2020-02-14",""
"8-K","Current report","2020-02-18","2020-02-17"
"8-K","Current report","2020-02-27","2020-02-26"
"4","Statement of changes in beneficial ownership of securities","2020-02-28","2020-02-26"
"4","Statement of changes in beneficial ownership of securities","2020-02-28","2020-02-26"
"4","Statement of changes in beneficial ownership of securities","2020-02-28","2020-02-26"
"4","Statement of changes in beneficial ownership of securities","2020-02-28","2020-02-26"
"4","Statement of changes in beneficial ownership of securities","2020-02-28","2020-02-26"
"4","Statement of changes in beneficial ownership of securities","2020-02-28","2020-02-26"
"4","Statement of changes in beneficial ownership of securities","2020-04-03","2020-04-01"
"4","Statement of changes in beneficial ownership of securities","2020-04-03","2020-04-01"
"4","Statement of changes in beneficial ownership of securities","2020-04-09","2020-04-07"
"4","Statement of changes in beneficial ownership of securities","2020-04-17","2020-04-15"
"4","Statement of changes in beneficial ownership of securities","2020-04-17","2020-04-15"
"4","Statement of changes in beneficial ownership of securities","2020-04-30","2020-04-28"
"8-K","Current report","2020-04-30","2020-04-30"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2020-05-01","2020-03-28"
"424B2","Prospectus [Rule 424(b)(2)]","2020-05-04",""
"424B2","Prospectus [Rule 424(b)(2)]","2020-05-05",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2020-05-05",""
"8-K","Current report","2020-05-11","2020-05-04"
"4","Statement of changes in beneficial ownership of securities","2020-05-12","2020-05-08"
"8-K","Current report","2020-07-30","2020-07-30"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2020-07-31","2020-06-27"
"8-K","Current report","2020-08-07","2020-08-03"
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2020-08-13",""
"424B2","Prospectus [Rule 424(b)(2)]","2020-08-13",""
"424B2","Prospectus [Rule 424(b)(2)]","2020-08-14",""
"8-K","Current report","2020-08-20","2020-08-13"
"4","Statement of changes in beneficial ownership of securities","2020-08-24","2020-08-20"
"4","Statement of changes in beneficial ownership of securities","2020-08-25","2020-08-24"
"4","Statement of changes in beneficial ownership of securities","2020-09-29","2020-09-27"
"4","Statement of changes in beneficial ownership of securities","2020-09-29","2020-09-27"
"4","Statement of changes in beneficial ownership of securities","2020-09-29","2020-09-27"
"4","Statement of changes in beneficial ownership of securities","2020-09-29","2020-09-27"
"4","Statement of changes in beneficial ownership of securities","2020-09-29","2020-09-27"
"4","Statement of changes in beneficial ownership of securities","2020-09-29","2020-09-27"
"4","Statement of changes in beneficial ownership of securities","2020-10-05","2020-10-01"
"4","Statement of changes in beneficial ownership of securities","2020-10-05","2020-10-01"
"4","Statement of changes in beneficial ownership of securities","2020-10-05","2020-10-01"
"4","Statement of changes in beneficial ownership of securities","2020-10-13","2020-10-09"
"4","Statement of changes in beneficial ownership of securities","2020-10-19","2020-10-15"
"4","Statement of changes in beneficial ownership of securities","2020-10-19","2020-10-15"
"8-K","Current report","2020-10-29","2020-10-29"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2020-10-30","2020-09-26"
"4","Statement of changes in beneficial ownership of securities","2020-11-05","2020-11-03"
"4","Statement of changes in beneficial ownership of securities","2020-11-17","2020-11-13"
"4","Statement of changes in beneficial ownership of securities","2021-01-05","2021-01-04"
"3","Initial statement of beneficial ownership of securities","2021-01-05","2021-01-04"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2021-01-05",""
"DEF 14A","Other definitive proxy statements","2021-01-05","2021-02-23"
"8-K","Current report","2021-01-05","2020-12-29"
"8-K","Current report","2021-01-27","2021-01-27"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2021-01-28","2020-12-26"
"424B2","Prospectus [Rule 424(b)(2)]","2021-02-01",""
"424B2","Prospectus [Rule 424(b)(2)]","2021-02-02",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2021-02-02",""
"4","Statement of changes in beneficial ownership of securities","2021-02-03","2021-02-01"
"4","Statement of changes in beneficial ownership of securities","2021-02-03","2021-02-01"
"4","Statement of changes in beneficial ownership of securities","2021-02-03","2021-02-01"
"4","Statement of changes in beneficial ownership of securities","2021-02-03","2021-02-01"
"4","Statement of changes in beneficial ownership of securities","2021-02-03","2021-02-01"
"4","Statement of changes in beneficial ownership of securities","2021-02-03","2021-02-01"
"4","Statement of changes in beneficial ownership of securities","2021-02-03","2021-02-01"
"4","Statement of changes in beneficial ownership of securities","2021-02-03","2021-02-01"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2021-02-05",""
"8-K","Current report","2021-02-08","2021-02-01"
"SD","Form - SD","2021-02-10",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2021-02-10",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2021-02-16",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2021-02-18",""
"8-K","Current report","2021-02-24","2021-02-23"
"4","Statement of changes in beneficial ownership of securities","2021-02-25","2021-02-23"
"4","Statement of changes in beneficial ownership of securities","2021-02-25","2021-02-23"
"4","Statement of changes in beneficial ownership of securities","2021-02-25","2021-02-23"
"4","Statement of changes in beneficial ownership of securities","2021-02-25","2021-02-23"
"4","Statement of changes in beneficial ownership of securities","2021-02-25","2021-02-23"
"4","Statement of changes in beneficial ownership of securities","2021-02-25","2021-02-23"
"4","Statement of changes in beneficial ownership of securities","2021-02-25","2021-02-23"
"4","Statement of changes in beneficial ownership of securities","2021-04-05","2021-04-01"
"4","Statement of changes in beneficial ownership of securities","2021-04-05","2021-04-01"
"4","Statement of changes in beneficial ownership of securities","2021-04-05","2021-04-01"
"4","Statement of changes in beneficial ownership of securities","2021-04-19","2021-04-15"
"4","Statement of changes in beneficial ownership of securities","2021-04-19","2021-04-15"
"8-K","Current report","2021-04-28","2021-04-28"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2021-04-29","2021-03-27"
"4","Statement of changes in beneficial ownership of securities","2021-05-05","2021-05-03"
"4","Statement of changes in beneficial ownership of securities","2021-05-05","2021-05-03"
"8-K","Current report","2021-07-27","2021-07-27"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2021-07-28",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2021-07-28","2021-06-26"
"424B2","Prospectus [Rule 424(b)(2)]","2021-07-29",""
"424B2","Prospectus [Rule 424(b)(2)]","2021-07-30",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2021-07-30",""
"4","Statement of changes in beneficial ownership of securities","2021-08-04","2021-08-02"
"8-K","Current report","2021-08-05","2021-07-29"
"4","Statement of changes in beneficial ownership of securities","2021-08-09","2021-08-05"
"4","Statement of changes in beneficial ownership of securities","2021-08-24","2021-08-20"
"4","Statement of changes in beneficial ownership of securities","2021-08-26","2021-08-24"
"4","Statement of changes in beneficial ownership of securities","2021-09-28","2021-09-26"
"4","Statement of changes in beneficial ownership of securities","2021-09-28","2021-09-26"
"4","Statement of changes in beneficial ownership of securities","2021-09-28","2021-09-26"
"4","Statement of changes in beneficial ownership of securities","2021-09-28","2021-09-26"
"4","Statement of changes in beneficial ownership of securities","2021-09-28","2021-09-26"
"4","Statement of changes in beneficial ownership of securities","2021-09-28","2021-09-26"
"4","Statement of changes in beneficial ownership of securities","2021-10-05","2021-10-01"
"4","Statement of changes in beneficial ownership of securities","2021-10-05","2021-10-01"
"4","Statement of changes in beneficial ownership of securities","2021-10-05","2021-10-01"
"4","Statement of changes in beneficial ownership of securities","2021-10-05","2021-10-01"
"4","Statement of changes in beneficial ownership of securities","2021-10-19","2021-10-15"
"4","Statement of changes in beneficial ownership of securities","2021-10-19","2021-10-15"
"4","Statement of changes in beneficial ownership of securities","2021-10-21","2021-10-19"
"8-K","Current report","2021-10-28","2021-10-28"
"S-3ASR","Automatic shelf registration statement of securities of well-known seasoned issuers","2021-10-29",""
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2021-10-29",""
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2021-10-29","2021-09-25"
"4","Statement of changes in beneficial ownership of securities","2021-11-03","2021-11-01"
"4","Statement of changes in beneficial ownership of securities","2021-11-12","2021-11-09"
"3","Initial statement of beneficial ownership of securities","2021-11-12","2021-11-09"
"8-K","Current report","2021-11-12","2021-11-09"
"4","Statement of changes in beneficial ownership of securities","2021-11-16","2021-11-12"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2022-01-06",""
"DEF 14A","Other definitive proxy statements","2022-01-06","2022-03-04"
"8-K","Current report","2022-01-27","2022-01-27"
"PX14A6N","Notice of exempt solicitation submitted by non-management","2022-01-27",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2022-01-28",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2022-01-28","2021-12-25"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2022-02-01",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2022-02-01",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2022-02-01",""
"4","Statement of changes in beneficial ownership of securities","2022-02-03","2022-02-01"
"4","Statement of changes in beneficial ownership of securities","2022-02-03","2022-02-01"
"4","Statement of changes in beneficial ownership of securities","2022-02-03","2022-02-01"
"4","Statement of changes in beneficial ownership of securities","2022-02-03","2022-02-01"
"4","Statement of changes in beneficial ownership of securities","2022-02-03","2022-02-01"
"4","Statement of changes in beneficial ownership of securities","2022-02-03","2022-02-01"
"4","Statement of changes in beneficial ownership of securities","2022-02-03","2022-02-01"
"4","Statement of changes in beneficial ownership of securities","2022-02-03","2022-02-01"
"4","Statement of changes in beneficial ownership of securities","2022-02-07","2022-02-03"
"SD","Form - SD","2022-02-09",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2022-02-09",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2022-02-09",""
"8-K","Current report","2022-03-04","2022-03-04"
"4","Statement of changes in beneficial ownership of securities","2022-03-08","2022-03-04"
"4","Statement of changes in beneficial ownership of securities","2022-03-08","2022-03-04"
"4","Statement of changes in beneficial ownership of securities","2022-03-08","2022-03-04"
"4","Statement of changes in beneficial ownership of securities","2022-03-08","2022-03-04"
"4","Statement of changes in beneficial ownership of securities","2022-03-08","2022-03-04"
"4","Statement of changes in beneficial ownership of securities","2022-03-08","2022-03-04"
"4","Statement of changes in beneficial ownership of securities","2022-03-08","2022-03-04"
"4","Statement of changes in beneficial ownership of securities","2022-03-08","2022-03-04"
"4","Statement of changes in beneficial ownership of securities","2022-04-05","2022-04-01"
"4","Statement of changes in beneficial ownership of securities","2022-04-05","2022-04-01"
"4","Statement of changes in beneficial ownership of securities","2022-04-05","2022-04-01"
"4","Statement of changes in beneficial ownership of securities","2022-04-05","2022-04-01"
"4","Statement of changes in beneficial ownership of securities","2022-04-19","2022-04-15"
"4","Statement of changes in beneficial ownership of securities","2022-04-19","2022-04-15"
"8-K","Current report","2022-04-28","2022-04-28"
"S-8","Securities to be offered to employees in employee benefit plans","2022-04-29",""
"S-8 POS","Securities to be offered to employees in employee benefit plans, post-effective amendments","2022-04-29",""
"S-8 POS","Securities to be offered to employees in employee benefit plans, post-effective amendments","2022-04-29",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2022-04-29","2022-03-26"
"4","Statement of changes in beneficial ownership of securities","2022-05-06","2022-05-04"
"4","Statement of changes in beneficial ownership of securities","2022-05-13","2022-05-06"
"8-K","Current report","2022-07-28","2022-07-28"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2022-07-29","2022-06-25"
"424B2","Prospectus [Rule 424(b)(2)]","2022-08-01",""
"424B2","Prospectus [Rule 424(b)(2)]","2022-08-02",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2022-08-02",""
"4","Statement of changes in beneficial ownership of securities","2022-08-05","2022-08-03"
"8-K","Current report","2022-08-08","2022-08-01"
"4","Statement of changes in beneficial ownership of securities","2022-08-09","2022-08-05"
"4","Statement of changes in beneficial ownership of securities","2022-08-19","2022-08-17"
"8-K","Current report","2022-08-19","2022-08-17"
"4/A","Statement of changes in beneficial ownership of securities - amendment","2022-08-22","2022-08-17"
"4","Statement of changes in beneficial ownership of securities","2022-09-27","2022-09-25"
"4","Statement of changes in beneficial ownership of securities","2022-09-27","2022-09-25"
"4","Statement of changes in beneficial ownership of securities","2022-09-27","2022-09-25"
"4","Statement of changes in beneficial ownership of securities","2022-09-27","2022-09-25"
"4","Statement of changes in beneficial ownership of securities","2022-09-27","2022-09-25"
"4","Statement of changes in beneficial ownership of securities","2022-09-27","2022-09-25"
"4","Statement of changes in beneficial ownership of securities","2022-10-04","2022-10-01"
"4","Statement of changes in beneficial ownership of securities","2022-10-04","2022-10-01"
"4","Statement of changes in beneficial ownership of securities","2022-10-04","2022-10-01"
"4","Statement of changes in beneficial ownership of securities","2022-10-04","2022-10-01"
"4","Statement of changes in beneficial ownership of securities","2022-10-18","2022-10-15"
"4","Statement of changes in beneficial ownership of securities","2022-10-18","2022-10-15"
"8-K","Current report","2022-10-27","2022-10-27"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2022-10-28","2022-09-24"
"4","Statement of changes in beneficial ownership of securities","2022-11-01","2022-10-28"
"8-K","Current report","2022-11-07","2022-11-06"
"25-NSE","Notification filed by national security exchange to report the removal from listing and registration of matured, redeemed or retired securities","2022-11-09",""
"4","Statement of changes in beneficial ownership of securities","2022-11-23","2022-11-22"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2023-01-12",""
"DEF 14A","Other definitive proxy statements","2023-01-12","2023-03-10"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2023-01-23",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2023-01-30",""
"8-K","Current report","2023-02-02","2023-02-02"
"4","Statement of changes in beneficial ownership of securities","2023-02-03","2023-02-01"
"4","Statement of changes in beneficial ownership of securities","2023-02-03","2023-02-01"
"4","Statement of changes in beneficial ownership of securities","2023-02-03","2023-02-01"
"4","Statement of changes in beneficial ownership of securities","2023-02-03","2023-02-01"
"4","Statement of changes in beneficial ownership of securities","2023-02-03","2023-02-01"
"4","Statement of changes in beneficial ownership of securities","2023-02-03","2023-02-01"
"4","Statement of changes in beneficial ownership of securities","2023-02-03","2023-02-01"
"4","Statement of changes in beneficial ownership of securities","2023-02-03","2023-02-01"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2023-02-03",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2023-02-03","2022-12-31"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2023-02-07",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2023-02-09",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2023-02-14",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2023-02-14",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2023-02-22",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2023-02-22",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2023-02-22",""
"8-K","Current report","2023-03-10","2023-03-10"
"4","Statement of changes in beneficial ownership of securities","2023-03-14","2023-03-10"
"4","Statement of changes in beneficial ownership of securities","2023-03-14","2023-03-10"
"4","Statement of changes in beneficial ownership of securities","2023-03-14","2023-03-10"
"4","Statement of changes in beneficial ownership of securities","2023-03-14","2023-03-10"
"4","Statement of changes in beneficial ownership of securities","2023-03-14","2023-03-10"
"4","Statement of changes in beneficial ownership of securities","2023-03-14","2023-03-10"
"4","Statement of changes in beneficial ownership of securities","2023-03-14","2023-03-10"
"4","Statement of changes in beneficial ownership of securities","2023-03-14","2023-03-10"
"SD","Form - SD","2023-03-16",""
"4","Statement of changes in beneficial ownership of securities","2023-03-24","2023-03-22"
"4","Statement of changes in beneficial ownership of securities","2023-04-04","2023-04-01"
"4","Statement of changes in beneficial ownership of securities","2023-04-04","2023-04-01"
"4","Statement of changes in beneficial ownership of securities","2023-04-04","2023-04-01"
"4","Statement of changes in beneficial ownership of securities","2023-04-04","2023-04-01"
"4","Statement of changes in beneficial ownership of securities","2023-04-04","2023-04-01"
"144","Report of proposed sale of securities","2023-04-06",""
"4","Statement of changes in beneficial ownership of securities","2023-04-10","2023-04-06"
"144","Report of proposed sale of securities","2023-04-13",""
"4","Statement of changes in beneficial ownership of securities","2023-04-17","2023-04-13"
"4","Statement of changes in beneficial ownership of securities","2023-04-18","2023-04-15"
"8-K","Current report","2023-05-04","2023-05-04"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2023-05-05","2023-04-01"
"424B2","Prospectus [Rule 424(b)(2)]","2023-05-08",""
"424B2","Prospectus [Rule 424(b)(2)]","2023-05-09",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2023-05-09",""
"4","Statement of changes in beneficial ownership of securities","2023-05-10","2023-05-08"
"8-K","Current report","2023-05-10","2023-05-08"
"4","Statement of changes in beneficial ownership of securities","2023-05-12","2023-05-10"
"4","Statement of changes in beneficial ownership of securities","2023-05-18","2023-05-16"
"8-K","Current report","2023-08-03","2023-08-03"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2023-08-04","2023-07-01"
"144","Report of proposed sale of securities","2023-08-07",""
"4","Statement of changes in beneficial ownership of securities","2023-08-08","2023-08-05"
"4","Statement of changes in beneficial ownership of securities","2023-09-19","2023-08-08"
"4","Statement of changes in beneficial ownership of securities","2023-10-03","2023-10-01"
